name	tdl	sym	uniprot	chr
Glutathione-specific gamma-glutamylcyclotransferase 2	Tdark	CHAC2	Q8WUX2	2p16.2
Chromodomain-helicase-DNA-binding protein 7	Tbio	CHD7	Q9P2D1	8q12.2
Chromodomain-helicase-DNA-binding protein 8	Tbio	CHD8	Q9HCK8	14q11.2
Chromodomain-helicase-DNA-binding protein 9	Tbio	CHD9	Q3L8U1	16q12.2
Charged multivesicular body protein 1a	Tbio	CHMP1A	Q9HD42	16q24.3
Charged multivesicular body protein 1b	Tbio	CHMP1B	Q7LBR1	18p11.21
Charged multivesicular body protein 2a	Tbio	CHMP2A	O43633	19q13.43
Charged multivesicular body protein 4b	Tbio	CHMP4B	Q9H444	20q11.22
Calcineurin B homologous protein 2	Tbio	CHP2	O43745	16p12.2
Chondroitin sulfate glucuronyltransferase	Tbio	CHPF2	Q9P2E5	7q36.1
Cholinephosphotransferase 1	Tbio	CHPT1	Q8WUD6	12q23.2
Putative uncharacterized protein encoded by LINC00474	Tdark	LINC00474	Q9P2X8	9q33.1
Uncharacterized protein C9orf40	Tdark	C9orf40	Q8IXQ3	9q21.13
Uncharacterized protein C9orf47	Tdark	C9orf47	Q6ZRZ4	9q22.1
Putative uncharacterized protein C9orf62	Tdark	C9orf62	Q8N4C0	9q34.3
Uncharacterized protein C9orf66	Tdark	C9orf66	Q5T8R8	9p24.3
Guanine nucleotide exchange C9orf72	Tbio	C9orf72	Q96LT7	9p21.2
Uncharacterized protein C9orf85	Tdark	C9orf85	Q96MD7	9q21.13
Putative uncharacterized protein C9orf106	Tdark	C9orf106	Q8NAJ2	9q34.11
Putative uncharacterized protein encoded by LINC00476	Tdark	LINC00476	Q8WZB0	9q22.32
Putative uncharacterized protein C9orf129	Tdark	C9orf129	Q5T035	9q22.31
Uncharacterized protein C9orf139	Tdark	C9orf139	Q6ZV77	9q34.3
Uncharacterized protein C9orf170	Tdark	C9orf170	A2RU37	9q21.33
Uncharacterized protein C9orf172	Tdark	AJM1	C9J069	9q34.3
C-C chemokine receptor type 5	Tclin	CCR5	P51681	3p21.31
C-C chemokine receptor type 7	Tbio	CCR7	P32248	17q21.2
Serine-rich coiled-coil domain-containing protein 2	Tdark	CCSER2	Q9H7U1	10q23.1
Vacuolar fusion protein CCZ1 homolog	Tbio	CCZ1	P86791	7p22.1
Uncharacterized protein C4orf3	Tdark	C4orf3	Q8WVX3	4q26
Putative uncharacterized protein encoded by LINC00575	Tdark	LINC00575	Q6W349	4q21.22
Uncharacterized protein C4orf19	Tdark	C4orf19	Q8IY42	4p14
Uncharacterized protein C4orf45	Tdark	C4orf45	Q96LM5	4q32.1
UPF0602 protein C4orf47	Tdark	C4orf47	A7E2U8	4q35.1
CD109 antigen	Tbio	CD109	Q6YHK3	6q13
Cyclin-dependent kinase 11B	Tchem	CDK11B	P21127	1p36.33
CD177 antigen	Tbio	CD177	Q8N6Q3	19q13.31
CD180 antigen	Tbio	CD180	Q99467	5q12.3
B-lymphocyte antigen CD19	Tclin	CD19	P15391	16p11.2
Cell division cycle protein 20 homolog B	Tdark	CDC20B	Q86Y33	5q11.2
B-lymphocyte antigen CD20	Tclin	MS4A1	P11836	11q12.2
CD226 antigen	Tbio	CD226	Q15762	18q22.2
B-cell receptor CD22	Tclin	CD22	P20273	19q13.12
CD27 antigen	Tbio	CD27	P26842	12p13.31
T-cell-specific surface glycoprotein CD28	Tbio	CD28	P10747	2q33.2
CD302 antigen	Tbio	CD302	Q8IX05	2q24.2
CD320 antigen	Tbio	CD320	Q9NPF0	19p13.2
Hematopoietic progenitor cell antigen CD34	Tbio	CD34	P28906	1q32.2
Platelet glycoprotein 4	Tbio	CD36	P16671	7q21.11
CAMPATH-1 antigen	Tclin	CD52	P31358	1p36.11
Leukocyte surface antigen CD53	Tbio	CD53	P19397	1p13.3
CD59 glycoprotein	Tbio	CD59	P13987	11p13
Cyclin-dependent kinase 5 activator 1	Tchem	CDK5R1	Q15078	17q11.2
T-cell surface glycoprotein CD5	Tbio	CD5	P06127	11q12.2
B-cell antigen receptor complex-associated protein beta chain	Tbio	CD79B	P40259	17q23.3
T-cell antigen CD7	Tbio	CD7	P09564	17q25.3
Cell division cycle protein 20 homolog	Tbio	CDC20	Q12834	1p34.2
Cytidine deaminase	Tchem	CDA	P32320	1p36.12
Cyclin-dependent kinase 12	Tchem	CDK12	Q9NYV4	17q12
Cyclin-dependent kinase 13	Tchem	CDK13	Q14004	7p14.1
Cyclin-dependent kinase 14	Tchem	CDK14	O94921	7q21.13
Cyclin-dependent kinase 15	Tchem	CDK15	Q96Q40	2q33.1
Cyclin-dependent kinase 16	Tchem	CDK16	Q00536	Xp11.3
Cyclin-dependent kinase 20	Tbio	CDK20	Q8IZL9	9q22.1
Cyclin-dependent kinase 3	Tchem	CDK3	Q00526	17q25.1
Cyclin-dependent kinase 4	Tclin	CDK4	P11802	12q14.1
Cyclin-dependent kinase 6	Tclin	CDK6	Q00534	7q21.2
Cyclin-dependent kinase 2-associated protein 2	Tbio	CDK2AP2	O75956	11q13.2
Cyclin-dependent kinase-like 1	Tchem	CDKL1	Q00532	14q21.3
Cyclin-dependent kinase-like 2	Tchem	CDKL2	Q92772	4q21.1
Cyclin-dependent kinase-like 3	Tchem	CDKL3	Q8IVW4	5q31.1
Cyclin-dependent kinase-like 5	Tchem	CDKL5	O76039	Xp22.13
Cyclin-dependent kinase 4 inhibitor C	Tbio	CDKN2C	P42773	1p32.3
Centrosomal protein of 85 kDa-like	Tbio	CEP85L	Q5SZL2	6q22.31
Carcinoembryonic antigen-related cell adhesion molecule 20	Tdark	CEACAM20	Q6UY09	19q13.31
Carcinoembryonic antigen-related cell adhesion molecule 1	Tbio	CEACAM1	P13688	19q13.2
Protein CEBPZOS	Tdark	CEBPZOS	A8MTT3	2p22.2
Cell migration-inducing and hyaluronan-binding protein	Tbio	CEMIP	Q8WUJ3	15q25.1
Cementoblastoma-derived protein 1	Tbio	CEMP1	Q6PRD7	16p13.3
Centrosomal protein of 68 kDa	Tbio	CEP68	Q76N32	2p14
Centrosomal protein of 85 kDa	Tdark	CEP85	Q6P2H3	1p36.11
Centrosomal protein of 89 kDa	Tbio	CEP89	Q96ST8	19q13.11
Centrosomal protein of 95 kDa	Tdark	CEP95	Q96GE4	17q23.3
Centrosomal protein of 97 kDa	Tbio	CEP97	Q8IW35	3q12.3
Ceramide kinase	Tchem	CERK	Q8TCT0	22q13.31
Ceramide kinase-like protein	Tbio	CERKL	Q49MI3	2q31.3
Ceramide synthase 2	Tbio	CERS2	Q96G23	1q21.3
Putative uncharacterized protein C6orf50	Tdark	C6orf50	Q9HD87	NULL
Uncharacterized protein C6orf62	Tdark	C6orf62	Q9GZU0	6p22.3
Bombesin receptor-activated protein C6orf89	Tbio	C6orf89	Q6UWU4	6p21.2
Uncharacterized protein C6orf163	Tdark	C6orf163	Q5TEZ5	6q15
Putative uncharacterized protein C6orf183	Tdark	C6orf183	Q5T699	NULL
Cilia- and flagella-associated protein 43	Tdark	CFAP43	Q8NDM7	10q25.1
Cilia- and flagella-associated protein 54	Tdark	CFAP54	Q96N23	12q23.1
Cilia- and flagella-associated protein 58	Tdark	CFAP58	Q5T655	10q25.1
Cilia- and flagella-associated protein 61	Tdark	CFAP61	Q8NHU2	20p11.23
Cilia- and flagella-associated protein 70	Tdark	CFAP70	Q5T0N1	10q22.2
Cilia- and flagella-associated protein 73	Tdark	CFAP73	A6NFT4	12q24.13
Cilia- and flagella-associated protein 74	Tdark	CFAP74	Q9C0B2	1p36.33
Cilia- and flagella-associated protein 77	Tdark	CFAP77	Q6ZQR2	9q34.13
Cilia- and flagella-associated protein 91	Tdark	MAATS1	Q7Z4T9	3q13.33
Cryptic family protein 1B	Tdark	CFC1B	P0CG36	2q21.1
Choriogonadotropin subunit beta variant 1	Tdark	CGB1	A6NKQ9	19q13.33
Choriogonadotropin subunit beta variant 2	Tdark	CGB2	Q6NT52	19q13.33
Choriogonadotropin subunit beta 3	Tdark	CGB8	P0DN86	19q13.33
Uncharacterized protein C8orf31	Tdark	C8orf31	Q8N9H6	8q24.3
10 kDa heat shock protein, mitochondrial	Tbio	HSPE1	P61604	2q33.1
Calcium and integrin-binding family member 3	Tbio	CIB3	Q96Q77	19p13.11
Protein capicua homolog	Tbio	CIC	Q96RK0	19q13.2
Cell death activator CIDE-B	Tbio	CIDEB	Q9UHD4	14q12
Cell death activator CIDE-3	Tbio	CIDEC	Q96AQ7	3p25.3
Adapter protein CIKS	Tbio	TRAF3IP2	O43734	6q21
Cartilage intermediate layer protein 1	Tbio	CILP	O75339	15q22.31
Cartilage intermediate layer protein 2	Tbio	CILP2	Q8IUL8	19p13.11
Cold-inducible RNA-binding protein	Tbio	CIRBP	Q14011	19p13.3
CDGSH iron-sulfur domain-containing protein 1	Tchem	CISD1	Q9NZ45	10q21.1
Protein C12orf4	Tdark	C12orf4	Q9NQ89	12p13.32
Putative uncharacterized protein encoded by LINC00612	Tdark	LINC00612	Q8N6U2	12p13.31
Uncharacterized protein C12orf42	Tdark	C12orf42	Q96LP6	12q23.2
Uncharacterized protein C12orf43	Tdark	C12orf43	Q96C57	12q24.31
UPF0454 protein C12orf49	Tdark	C12orf49	Q9H741	12q24.22
Uncharacterized protein C12orf50	Tdark	C12orf50	Q8NA57	12q21.32
Uncharacterized protein C12orf54	Tdark	C12orf54	Q6X4T0	12q13.11
Putative uncharacterized protein encoded by LINC01465	Tdark	LINC01465	Q8N7H1	12q14.1
Uncharacterized protein C12orf74	Tdark	C12orf74	Q32Q52	12q22
C-type lectin domain family 12 member A	Tbio	CLEC12A	Q5QGZ9	12p13.31
C-type lectin domain family 18 member A	Tbio	CLEC18A	A5D8T8	16q22.1
C-type lectin domain family 18 member C	Tbio	CLEC18C	Q8NCF0	16q22.1
Collagen alpha-1(XI) chain	Tbio	COL11A1	P12107	1p21.1
Collagen alpha-2(XI) chain	Tbio	COL11A2	P13942	6p21.32
Transcription factor COE1	Tbio	EBF1	Q9UH73	5q33.3
Transcription factor COE3	Tbio	EBF3	Q9H4W6	10q26.3
Cofilin-2	Tbio	CFL2	Q9Y281	14q13.1
Conserved oligomeric Golgi complex subunit 1	Tbio	COG1	Q8WTW3	17q25.1
COMM domain-containing protein 2	Tdark	COMMD2	Q86X83	3q25.1
COMM domain-containing protein 5	Tbio	COMMD5	Q9GZQ3	8q24.3
COMM domain-containing protein 7	Tbio	COMMD7	Q86VX2	20q11.21
Catechol O-methyltransferase	Tclin	COMT	P21964	22q11.21
Coatomer subunit alpha	Tbio	COPA	P53621	1q23.2
Coatomer subunit epsilon	Tbio	COPE	O14579	19p13.11
Coordinator of PRMT5 and differentiation stimulator	Tbio	COPRS	Q9NQ92	17q11.2
High affinity copper uptake protein 1	Tbio	SLC31A1	O15431	9q32
4-hydroxybenzoate polyprenyltransferase, mitochondrial	Tbio	COQ2	Q96H96	4q21.23
Ubiquinone biosynthesis O-methyltransferase, mitochondrial	Tbio	COQ3	Q9NZJ6	6q16.2
Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	Tbio	COQ4	Q9Y3A0	9q34.11
2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	Tbio	COQ5	Q5HYK3	12q24.31
Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	Tbio	COQ6	Q9Y2Z9	14q24.3
Atrial natriuretic peptide-converting enzyme	Tbio	CORIN	Q9Y5Q5	4p12
Cortistatin	Tbio	CORT	O00230	1p36.22
Cytochrome c oxidase assembly protein COX11, mitochondrial	Tbio	COX11	Q9Y6N1	17q22
Cytochrome c oxidase assembly protein COX14	Tbio	COX14	Q96I36	12q13.12
Cytochrome c oxidase subunit 1	Tchem	MT-CO1	P00395	mitochondria
Cytochrome c oxidase subunit 3	Tbio	MT-CO3	P00414	mitochondria
Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	Tbio	COX4I1	P13073	16q24.1
Uncharacterized protein C16orf59	Tdark	TEDC2	Q7L2K0	16p13.3
Uncharacterized protein C16orf74	Tdark	C16orf74	Q96GX8	16q24.1
UPF0547 protein C16orf87	Tdark	C16orf87	Q6PH81	16q11.2
Uncharacterized protein C16orf96	Tdark	C16orf96	A6NNT2	16p13.3
Steroid 21-hydroxylase	Tbio	CYP21A2	P08686	6p21.33
1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial	Tchem	CYP24A1	Q07973	20q13.2
Cytochrome P450 26A1	Tchem	CYP26A1	O43174	10q23.33
Cytochrome P450 26B1	Tchem	CYP26B1	Q9NR63	2p13.2
Putative cytochrome P450 2D7	Tbio	CYP2D7	A0A087X1C5	22q13.2
Cytochrome P450 2E1	Tchem	CYP2E1	P05181	10q26.3
Cytochrome P450 2J2	Tchem	CYP2J2	P51589	1p32.1
Cytochrome P450 2S1	Tbio	CYP2S1	Q96SQ9	19q13.2
Cytochrome P450 2W1	Tbio	CYP2W1	Q8TAV3	7p22.3
Cytochrome P450 3A7	Tclin	CYP3A7	P24462	7q22.1
Cholesterol 24-hydroxylase	Tbio	CYP46A1	Q9Y6A2	14q32.2
Cytochrome P450 4F8	Tdark	CYP4F8	P98187	19p13.12
Phylloquinone omega-hydroxylase CYP4F11	Tbio	CYP4F11	Q9HBI6	19p13.12
Cytochrome P450 4F22	Tbio	CYP4F22	Q6NT55	19p13.12
Cytochrome P450 4Z1	Tbio	CYP4Z1	Q86W10	1p33
Cytoplasmic polyadenylation element-binding protein 3	Tbio	CPEB3	Q8NE35	10q23.32
Complexin-2	Tbio	CPLX2	Q6PUV4	5q35.2
Complexin-3	Tbio	CPLX3	Q8WVH0	15q24.1
Complexin-4	Tdark	CPLX4	Q7Z7G2	18q21.32
Copine-9	Tbio	CPNE9	Q8IYJ1	3p25.3
Cleavage and polyadenylation specificity factor subunit 2	Tbio	CPSF2	Q9P2I0	14q32.12
Carbamoyl-phosphate synthase [ammonia], mitochondrial	Tclin	CPS1	P31327	2q34
Putative uncharacterized protein encoded by LINC00469	Tdark	LINC00469	Q8N7U9	17q25.1
Uncharacterized protein C17orf62	Tdark	C17orf62	Q9BQA9	17q25.3
Uncharacterized protein C17orf67	Tdark	C17orf67	Q0P5P2	17q22
Uncharacterized protein C17orf77	Tdark	C17orf77	Q96MU5	17q25.1
Putative uncharacterized protein C17orf82	Tdark	C17orf82	Q86X59	17q23.2
Uncharacterized protein C17orf99	Tdark	C17orf99	Q6UX52	17q25.3
Uncharacterized protein C17orf102	Tdark	C17orf102	A2RUQ5	17q12
Uncharacterized protein C17orf107	Tdark	C17orf107	Q6ZR85	17p13.2
Putative uncharacterized protein encoded by LINC00470	Tdark	LINC00470	Q9BZP3	18p11.32
Uncharacterized protein C18orf25	Tdark	C18orf25	Q96B23	18q21.1
Uncharacterized protein C18orf63	Tdark	C18orf63	Q68DL7	18q22.3
Complement receptor type 2	Tbio	CR2	P20023	1q32.2
Cyclic AMP-responsive element-binding protein 3-like protein 1	Tbio	CREB3L1	Q96BA8	11p11.2
Cyclic AMP-responsive element-binding protein 3-like protein 2	Tbio	CREB3L2	Q70SY1	7q33
Beta-crystallin B3	Tbio	CRYBB3	P26998	22q11.23
Beta/gamma crystallin domain-containing protein 1	Tbio	CRYBG1	Q9Y4K1	6q21
cAMP-responsive element-binding protein-like 2	Tdark	CREBL2	O60519	12p13.1
Calcium-responsive transactivator	Tbio	SS18L1	O75177	20q13.33
CHRNA7-FAM7A fusion protein	Tbio	CHRFAM7A	Q494W8	15q13.2
Corticotropin-releasing factor receptor 1	Tclin	CRHR1	P34998	17q21.31
Corticotropin-releasing factor receptor 2	Tbio	CRHR2	Q13324	7p14.3
Corticoliberin	Tbio	CRH	P06850	8q13.1
Gamma-crystallin A	Tbio	CRYGA	P11844	2q33.3
Gamma-crystallin D	Tbio	CRYGD	P07320	2q33.3
Cysteine-rich secretory protein 2	Tbio	CRISP2	P16562	6p12.3
Cysteine-rich secretory protein 3	Tbio	CRISP3	P54108	6p12.3
Adapter molecule crk	Tbio	CRK	P46108	17p13.3
Cytokine receptor-like factor 1	Tbio	CRLF1	O75462	19p12
Cytokine receptor-like factor 2	Tbio	CRLF2	Q9HC73	Xp22.3 and Yp11.3
Putative ciliary rootlet coiled-coil protein-like 1 protein	Tdark	CROCCP2	Q86T23	1p36.13
Cerebral dopamine neurotrophic factor	Tbio	CDNF	Q49AH0	10p13
Cysteine-rich DPF motif domain-containing protein 1	Tdark	CDPF1	Q6NVV7	22q13.31
Cerebellar degeneration-related antigen 1	Tbio	CDR1	P51861	Xq27.1
Cerebellar degeneration-related protein 2-like	Tbio	CDR2L	Q86X02	17q25.1
Cerebellar degeneration-related protein 2	Tbio	CDR2	Q01850	16p12.2
Phosphatidate cytidylyltransferase 2	Tbio	CDS2	O95674	20p12.3
Protein CDV3 homolog	Tbio	CDV3	Q9UKY7	3q22.1
Homeobox protein CDX-2	Tbio	CDX2	Q99626	13q12.2
Homeobox protein CDX-4	Tbio	CDX4	O14627	Xq13.2
Uncharacterized protein C5orf17	Tdark	C5orf17	Q8NAS9	5p14.2
Cystic fibrosis transmembrane conductance regulator	Tclin	CFTR	P13569	7q31.2
Chondroadherin	Tbio	CHAD	O15335	17q21.33
Chromodomain-helicase-DNA-binding protein 3	Tbio	CHD3	Q12873	17p13.1
Chromodomain-helicase-DNA-binding protein 4	Tbio	CHD4	Q14839	12p13.31
Chromodomain-helicase-DNA-binding protein 6	Tbio	CHD6	Q8TD26	20q12
Calcium homeostasis endoplasmic reticulum protein	Tbio	CHERP	Q8IWX8	19p13.11
N-chimaerin	Tbio	CHN1	P15882	2q31.1
Beta-chimaerin	Tbio	CHN2	P52757	7p14.3
Cholinesterase	Tclin	BCHE	P06276	3q26.1
Charged multivesicular body protein 4c	Tbio	CHMP4C	Q96CF2	8q21.13
Chondroitin sulfate synthase 2	Tbio	CHPF	Q8IZ52	2q35
Carbohydrate sulfotransferase 1	Tbio	CHST1	O43916	11p11.2
Carbohydrate sulfotransferase 4	Tbio	CHST4	Q8NCG5	16q22.2
Carbohydrate sulfotransferase 5	Tbio	CHST5	Q9GZS9	16q23.1
Carbohydrate sulfotransferase 7	Tbio	CHST7	Q9NS84	Xp11.3
Carbohydrate sulfotransferase 11	Tbio	CHST11	Q9NPF2	12q23.3
Carbohydrate sulfotransferase 12	Tbio	CHST12	Q9NRB3	7p22.3
Chromatin target of PRMT1 protein	Tbio	CHTOP	Q9Y3Y2	1q21.3
Uncharacterized protein ARRDC1-AS1	Tdark	ARRDC1-AS1	Q9H2J1	9q34.3
Uncharacterized protein C9orf57	Tdark	C9orf57	Q5W0N0	9q21.13
Uncharacterized protein C9orf84	Tdark	C9orf84	Q5VXU9	9q31.3
Putative uncharacterized protein encoded by LINC00587	Tdark	LINC00587	B1AMM8	9q31.1
Putative methyltransferase C9orf114	Tbio	SPOUT1	Q5T280	9q34.11
Probable cytosolic iron-sulfur protein assembly protein CIAO1	Tbio	CIAO1	O76071	2q11.2
CDGSH iron-sulfur domain-containing protein 2	Tbio	CISD2	Q8N5K1	4q24
CDGSH iron-sulfur domain-containing protein 3, mitochondrial	Tdark	CISD3	P0C7P0	17q12
Cytokine-inducible SH2-containing protein	Tbio	CISH	Q9NSE2	3p21.2
Cbp/p300-interacting transactivator 2	Tbio	CITED2	Q99967	6q24.1
Uncharacterized protein C10orf62	Tdark	C10orf62	Q5T681	10q24.2
UPF0668 protein C10orf76	Tdark	C10orf76	Q5T2E6	10q24.32
Uncharacterized protein encoded by LINC01561	Tdark	LINC01561	Q8N1V8	10q26.12
Uncharacterized protein C10orf105	Tdark	C10orf105	Q8TEF2	10q22.1
Putative uncharacterized protein C10orf113	Tdark	C10orf113	Q5VZT2	10p12.31
Putative uncharacterized protein C10orf128	Tdark	C10orf128	Q5T292	10q11.23
Uncharacterized protein C11orf21	Tdark	C11orf21	Q9P2W6	11p15.5
Uncharacterized protein C11orf24	Tdark	C11orf24	Q96F05	11q13.2
Putative uncharacterized protein encoded by LINC00167	Tdark	LINC00167	Q96N53	11q24.3
Uncharacterized protein C11orf44	Tdark	C11orf44	Q8N8P7	11q24.3
Uncharacterized protein C11orf53	Tdark	C11orf53	Q8IXP5	11q23.1
Uncharacterized protein C11orf72	Tdark	C11orf72	Q8NBR9	11q13.2
Uncharacterized protein C11orf87	Tdark	C11orf87	Q6NUJ2	11q22.3
UPF0722 protein C11orf88	Tdark	C11orf88	Q6PI97	11q23.1
Calcium/calmodulin-dependent protein kinase II inhibitor 1	Tbio	CAMK2N1	Q7Z7J9	1p36.12
CDK5 regulatory subunit-associated protein 3	Tbio	CDK5RAP3	Q96JB5	17q21.32
Cytoskeleton-associated protein 4	Tbio	CKAP4	Q07065	12q23.3
CKLF-like MARVEL transmembrane domain-containing protein 4	Tbio	CMTM4	Q8IZR5	16q22.1-q22.3
Chemokine-like factor	Tbio	CKLF	Q9UBR5	16q21
CMRF35-like molecule 4	Tdark	CD300LD	Q6UXZ3	17q25.1
CMRF35-like molecule 6	Tbio	CD300C	Q08708	17q25.1
CMRF35-like molecule 8	Tbio	CD300A	Q9UGN4	17q25.1
Polyribonucleotide 5'-hydroxyl-kinase Clp1	Tbio	CLP1	Q92989	11q12.1
Centriolin	Tbio	CNTRL	Q7Z7A1	9q33.2
UPF0583 protein C15orf59	Tdark	C15orf59	Q2T9L4	15q24.1
Uncharacterized protein C15orf65	Tdark	C15orf65	H3BRN8	15q21.3
Collagen alpha-1(II) chain	Tbio	COL2A1	P02458	12q13.11
Cysteinyl leukotriene receptor 1	Tclin	CYSLTR1	Q9Y271	Xq21.1
Clavesin-1	Tbio	CLVS1	Q8IUQ0	8q12.2-q12.3
Citramalyl-CoA lyase, mitochondrial	Tbio	CLYBL	Q8N0X4	13q32.3
Putative uncharacterized protein encoded by LINC00346	Tdark	LINC00346	Q8IVM7	13q34
Chymase	Tchem	CMA1	P23946	14q12
Putative uncharacterized protein C21orf62-AS1	Tdark	C21orf62-AS1	Q17RA5	21q22.11
Carboxymethylenebutenolidase homolog	Tbio	CMBL	Q96DG6	5p15.2
C-Maf-inducing protein	Tbio	CMIP	Q8IY22	16q23.2-q23.3
Calmodulin-lysine N-methyltransferase	Tbio	CAMKMT	Q7Z624	2p21
Calmodulin-binding transcription activator 1	Tbio	CAMTA1	Q9Y6Y1	1p36.31-p36.23
Calmodulin-binding transcription activator 2	Tbio	CAMTA2	O94983	17p13.2
Uncharacterized protein C14orf28	Tdark	C14orf28	Q4W4Y0	14q21.2
Putative uncharacterized protein C14orf177	Tdark	C14orf177	Q52M58	14q32.2
2',3'-cyclic-nucleotide 3'-phosphodiesterase	Tbio	CNP	P09543	17q21.2
Cyclic nucleotide-binding domain-containing protein 1	Tdark	CNBD1	Q8NA66	8q21.3
Beta-catenin-interacting protein 1	Tbio	CTNNBIP1	Q9NSA3	1p36.22
CTD nuclear envelope phosphatase 1	Tbio	CTDNEP1	O95476	17p13.1
Cornifelin	Tdark	CNFN	Q9BYD5	19q13.2
Putative CNGA1-overlapping antisense gene protein	Tdark	NULL	Q8IZM0	NULL
Cyclic nucleotide-gated cation channel beta-3	Tchem	CNGB3	Q9NQW8	8q21.3
Protein cornichon homolog 3	Tdark	CNIH3	Q8TBE1	1q42.12
Connector enhancer of kinase suppressor of ras 2	Tbio	CNKSR2	Q8WXI2	Xp22.12
Leukocyte cell-derived chemotaxin 1	Tbio	CNMD	O75829	13q14.3
Calponin-2	Tbio	CNN2	Q99439	19p13.3
Metal transporter CNNM1	Tdark	CNNM1	Q9NRU3	10q24.2
Metal transporter CNNM2	Tbio	CNNM2	Q9H8M5	10q24.32
Metal transporter CNNM3	Tbio	CNNM3	Q8NE01	2q11.2
CCR4-NOT transcription complex subunit 1	Tbio	CNOT1	A5YKK6	16q21
CCR4-NOT transcription complex subunit 2	Tbio	CNOT2	Q9NZN8	12q15
CCR4-NOT transcription complex subunit 4	Tbio	CNOT4	O95628	7q33
CCR4-NOT transcription complex subunit 6	Tbio	CNOT6	Q9ULM6	5q35.3
Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit gamma	Tclin	PDE6G	P18545	17q21.1
CB1 cannabinoid receptor-interacting protein 1	Tbio	CNRIP1	Q96F85	2p14
Contactin-associated protein-like 3B	Tdark	CNTNAP3B	Q96NU0	9p11.2
Uncharacterized protein C15orf62, mitochondrial	Tdark	C15orf62	A8K5M9	15q15.1
Collagen alpha-5(IV) chain	Tbio	COL4A5	P29400	Xq22.3
Complement C4-A	Tbio	C4B	P0C0L4	6p21.33
Conserved oligomeric Golgi complex subunit 2	Tbio	COG2	Q14746	1q42.2
Conserved oligomeric Golgi complex subunit 3	Tbio	COG3	Q96JB2	13q14.13
Conserved oligomeric Golgi complex subunit 4	Tbio	COG4	Q9H9E3	16q22.1
Conserved oligomeric Golgi complex subunit 5	Tbio	COG5	Q9UP83	7q22.3
Colorectal cancer-associated protein 2	Tdark	COLCA2	A8K830	11q23.1
Colipase	Tbio	CLPS	P04118	6p21.31
COMM domain-containing protein 8	Tdark	COMMD8	Q9NX08	4p12
Collagen alpha-1(XXIII) chain	Tbio	COL23A1	Q86Y22	5q35.3
Collagen alpha-1(XXIV) chain	Tdark	COL24A1	Q17RW2	1p22.3
Collagen alpha-1(XXV) chain	Tbio	COL25A1	Q9BXS0	4q25
Coatomer subunit zeta-2	Tdark	COPZ2	Q9P299	17q21.32
Coronin-1B	Tbio	CORO1B	Q9BR76	11q13.2
Coronin-2A	Tbio	CORO2A	Q92828	9q22.33
Protoheme IX farnesyltransferase, mitochondrial	Tbio	COX10	Q12887	17p12
Cytochrome c oxidase subunit 2	Tchem	MT-CO2	P00403	mitochondria
UPF0505 protein C16orf62	Tdark	VPS35L	Q7Z3J2	16p12.3
Uncharacterized protein C16orf78	Tdark	C16orf78	Q8WTQ4	16q12.1
Centrosomal protein of 135 kDa	Tbio	CEP135	Q66GS9	4q12
Centrosome-associated protein CEP250	Tbio	CEP250	Q9BV73	20q11.22
Sterol 26-hydroxylase, mitochondrial	Tchem	CYP27A1	Q02318	2q35
Cytochrome P450 2C8	Tchem	CYP2C8	P10632	10q23.33
Cytochrome P450 2C9	Tchem	CYP2C9	P11712	10q23.33
Cytochrome P450 2C19	Tchem	CYP2C19	P33261	10q23.33
Cytochrome P450 2F1	Tbio	CYP2F1	P24903	19q13.2
Cytochrome P450 4A22	Tbio	CYP4A22	Q5TCH4	1p33
Cytochrome P450 4B1	Tbio	CYP4B1	P13584	1p33
Docosahexaenoic acid omega-hydroxylase CYP4F3	Tbio	CYP4F3	Q08477	19p13.12
Cytochrome P450 4F12	Tdark	CYP4F12	Q9HCS2	19p13.12
Cytochrome P450 4V2	Tbio	CYP4V2	Q6ZWL3	4q35.1-q35.2
Cytochrome P450 4X1	Tbio	CYP4X1	Q8N118	1p33
Lanosterol 14-alpha demethylase	Tchem	CYP51A1	Q16850	7q21.2
Cleft lip and palate transmembrane protein 1	Tbio	CLPTM1	O96005	19q13.32
ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial	Tbio	CLPX	O76031	15q22.31
Clustered mitochondria protein homolog	Tbio	CLUH	O75153	17p13.3
Clavesin-2	Tbio	CLVS2	Q5SYC1	6q22.31
Uncharacterized protein C15orf32	Tdark	C15orf32	Q32M92	15q26.1
Uncharacterized protein C15orf39	Tdark	C15orf39	Q6ZRI6	15q24.2
Uncharacterized protein C15orf53	Tdark	C15orf53	Q8NAA6	15q14
Putative uncharacterized protein C15orf56	Tdark	C15orf56	Q8N910	15q15.1
Complement component C6	Tbio	C6	P13671	5p13.1
Complement component C7	Tbio	C7	P10643	5p13.1
Collagen alpha-1(VIII) chain	Tbio	COL8A1	P27658	3q12.1
Collagen alpha-2(VIII) chain	Tbio	COL8A2	P25067	1p34.3
